ics,measured_item_isscfc
1572,036.0.2.5.7.55
1501,034.1.2.1.22
1507,037.1.2.1.23
1527,034.1.5.7.85
1528,034.2.5.7.85
1516,034.3.1.5.8.80
1514,034.3.2.2.5.8.70
1514,034.3.2.2.5.8.80
1515,034.4.4.2.5.8.80
1505,035.02.1.3.9.87
1531,035.02.1.5.7.85
1553,036.0.1.1.1.90
1553,036.0.1.3.2.05
1501,034.1.4.3.50
1515,034.2.5.4.41
1553,036.0.1.3.3.05
1553,036.0.1.3.5.05
1553,036.0.1.3.5.10
1553,036.0.1.3.9.05
1555,036.0.1.5.3.30
1555,036.0.1.5.3.50
1555,036.0.1.5.3.40
1562,036.0.2.3.3.05
1562,036.0.2.3.9.90
1563,036.0.2.4.6.80
1515,034.2.5.3.74
1517,034.4.1.5.8.80
1527,034.1.5.6.97
1527,034.1.5.6.98
1514,034.1.5.8.61
1514,034.1.5.8.62
1514,034.1.5.8.69
1528,034.2.5.6.97
1528,034.2.5.6.98
1515,034.2.5.3.90
1515,034.2.5.8.61
1515,034.2.5.8.62
1516,034.3.1.5.8.61
1516,034.3.1.5.8.66
1516,034.3.1.5.8.62
1514,034.3.2.2.5.8.61
1514,034.3.2.2.5.8.66
1514,034.3.2.2.5.8.62
1517,034.4.1.5.8.62
1528,034.2.5.7.01
1515,034.4.4.2.5.8.61
1515,034.4.4.2.5.8.66
1515,034.4.4.2.5.8.62
1515,034.4.4.2.5.8.85
1518,035.02.1.5.2.18
1518,035.02.1.5.2.98
1553,036.0.1.3.2.30
1553,036.0.1.3.5.06
1528,034.2.5.7.02
1553,036.0.1.3.5.29
1553,036.0.1.3.5.39
1553,036.0.1.3.5.90
1555,036.0.1.5.2.30
1555,036.0.1.5.3.41
1555,036.0.1.5.3.42
1555,036.0.1.5.5.31
1555,036.0.1.5.5.32
1555,036.0.1.5.5.20
1555,036.0.1.5.5.29
1528,034.2.5.7.03
1555,036.0.1.5.5.39
1555,036.0.1.5.9.10
1570,036.0.2.3.7.33
1563,036.0.2.4.4.10
1563,036.0.2.4.4.20
1563,036.0.2.4.4.30
1563,036.0.2.4.5.05
1563,036.0.2.4.6.40
1528,034.2.5.7.70
1571,036.0.2.4.7.11
1571,036.0.2.4.7.12
1571,036.0.2.4.7.15
1571,036.0.2.4.7.31
1571,036.0.2.4.7.33
1564,036.0.2.5.4.20
1528,034.2.5.7.75
1564,036.0.2.5.4.30
1572,036.0.2.5.7.32
1572,036.0.2.5.7.31
1572,036.0.2.5.7.33
1572,036.0.2.5.7.10
1572,036.0.2.5.7.19
1554,036.0.1.4.5.29
1554,036.0.1.4.5.39
1553,036.0.1.6.5.29
1515,034.2.5.4.90
1517,034.4.1.5.8.85
1528,034.2.5.5.11
1501,034.1.4.3.90
1528,034.2.5.5.12
1528,034.2.5.5.19
1528,034.2.5.5.29
1528,034.2.5.5.40
1528,034.2.5.5.50
1528,034.2.5.5.60
1528,034.2.5.5.90
1528,034.2.5.6.29
1528,034.2.5.6.30
1528,034.2.5.6.49
1514,034.1.5.2.45
1514,034.1.5.1.11
1528,034.2.5.6.41
1528,034.2.5.6.42
1528,034.2.5.6.59
1528,034.2.5.6.51
1528,034.2.5.6.52
1528,034.2.5.6.69
1528,034.2.5.6.71
1528,034.2.5.6.80
1528,034.2.5.6.909
1528,034.2.5.6.901
1514,034.1.5.1.12
1528,034.2.5.6.902
1515,034.2.5.4.13
1528,034.2.5.7.61
1528,034.2.5.7.69
1515,034.2.5.8.70
1515,034.2.5.8.80
1515,034.2.5.8.90
1514,034.1.5.1.13
1541,034.2.5.9.90
1546,034.2.9.1.10
1546,034.2.9.1.29
1546,034.2.9.1.90
1503,034.3.1.3.1.10
1503,034.3.1.3.9.40
1503,034.3.1.3.9.90
1516,034.3.1.5.1.31
1516,034.3.1.5.1.50
1516,034.3.1.5.1.45
1514,034.1.5.1.19
